Option,in:Afstand van Straat,in:Inkeping Hoek,in:Overspanning Vloer,in:Bouwsysteem,in:Vleugel Woningdiepte,in:Belemmeringshoek Zuid,in:Belemmeringshoek Noord,out:MPG [€/m2 per jaar],out:Gewicht [t],out:BVO Wonen Blok O[m2],out:Overspanning [m],out:Vormfactor [GBO/BVO],out:Terrassen [m2],out:% >2 Zonuren Terrassen,out:% >2 Zonuren Straat O,out:% >2 Zonuren Gevels,out:% >2 Zonuren Gevels Buren,out:% >2 Zonuren Binnentuin,out:% >15% Gevel Daglicht,out:% >30% Gevel Daglicht,img
317,0,1 Grid,0,CLT Vloer/Kolom-Ligger,6.3,45,30,0.277,3430,10413,3.6,0.47,1252,37,53,71,87,92,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
318,3.6,1 Grid,0,CLT Vloer/Kolom-Ligger,6.3,45,30,0.276,3397,10321,3.6,0.47,1176,39,73,70,87,91,100,84,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
319,0,1.5 Grid,0,CLT Vloer/Kolom-Ligger,6.3,45,30,0.273,3379,10283,3.6,0.47,1240,36,53,72,87,94,100,83,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
320,3.6,1.5 Grid,0,CLT Vloer/Kolom-Ligger,6.3,45,30,0.273,3342,10181,3.6,0.47,1164,42,73,71,87,94,100,84,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
321,0,0 Grid,1,CLT Vloer/Kolom-Ligger,6.3,45,30,0.253,3633,10682,4.5,0.47,1275,32,53,71,87,87,100,77,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
322,3.6,0 Grid,1,CLT Vloer/Kolom-Ligger,6.3,45,30,0.259,3618,10604,4.5,0.47,1199,41,73,70,87,86,100,77,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
323,0,0.5 Grid,1,CLT Vloer/Kolom-Ligger,6.3,45,30,0.245,3556,10511,4.5,0.47,1261,37,53,71,87,90,100,81,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
324,3.6,0.5 Grid,1,CLT Vloer/Kolom-Ligger,6.3,45,30,0.252,3539,10428,4.5,0.47,1185,40,73,71,87,89,100,81,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
325,0,1 Grid,1,CLT Vloer/Kolom-Ligger,6.3,45,30,0.248,3500,10348,4.5,0.47,1246,37,53,71,87,94,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
326,3.6,1 Grid,1,CLT Vloer/Kolom-Ligger,6.3,45,30,0.255,3479,10251,4.5,0.47,1170,40,73,70,87,93,100,84,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
327,0,1.5 Grid,1,CLT Vloer/Kolom-Ligger,6.3,45,30,0.247,3439,10186,4.5,0.47,1231,38,53,71,87,96,100,83,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
328,3.6,1.5 Grid,1,CLT Vloer/Kolom-Ligger,6.3,45,30,0.253,3414,10079,4.5,0.47,1155,42,73,71,87,94,100,84,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
329,0,0 Grid,2,CLT Vloer/Kolom-Ligger,6.3,45,30,0.24,3785,10682,5.4,0.47,1275,32,53,71,87,87,100,77,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
330,3.6,0 Grid,2,CLT Vloer/Kolom-Ligger,6.3,45,30,0.248,3773,10604,5.4,0.47,1199,41,73,70,87,86,100,77,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
331,0,0.5 Grid,2,CLT Vloer/Kolom-Ligger,6.3,45,30,0.242,3712,10479,5.4,0.47,1258,37,53,71,87,90,100,82,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
332,3.6,0.5 Grid,2,CLT Vloer/Kolom-Ligger,6.3,45,30,0.25,3697,10392,5.4,0.47,1182,40,73,71,87,89,100,82,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
333,0,1 Grid,2,CLT Vloer/Kolom-Ligger,6.3,45,30,0.235,3623,10283,5.4,0.47,1240,36,53,72,87,94,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
334,3.6,1 Grid,2,CLT Vloer/Kolom-Ligger,6.3,45,30,0.244,3602,10181,5.4,0.47,1164,42,73,71,87,94,100,84,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
335,0,1.5 Grid,2,CLT Vloer/Kolom-Ligger,6.3,45,30,0.238,3554,10091,5.4,0.47,1222,39,53,72,87,97,100,83,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
336,3.6,1.5 Grid,2,CLT Vloer/Kolom-Ligger,6.3,45,30,0.247,3529,9979,5.4,0.47,1146,42,73,71,87,97,100,84,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom-Ligger_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
337,0,0 Grid,0,CLT Vloer/Kolom,6.3,45,30,0.24,3437,10682,3.6,0.47,1275,32,53,71,87,87,100,77,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
338,3.6,0 Grid,0,CLT Vloer/Kolom,6.3,45,30,0.24,3408,10604,3.6,0.47,1199,41,73,70,87,86,100,77,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
339,0,0.5 Grid,0,CLT Vloer/Kolom,6.3,45,30,0.243,3394,10544,3.6,0.47,1263,37,53,71,87,89,100,79,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
340,3.6,0.5 Grid,0,CLT Vloer/Kolom,6.3,45,30,0.242,3364,10463,3.6,0.47,1188,41,73,70,87,88,100,80,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
341,0,1 Grid,0,CLT Vloer/Kolom,6.3,45,30,0.242,3345,10413,3.6,0.47,1252,37,53,71,87,92,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
342,3.6,1 Grid,0,CLT Vloer/Kolom,6.3,45,30,0.241,3312,10321,3.6,0.47,1176,39,73,70,87,91,100,84,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
343,0,1.5 Grid,0,CLT Vloer/Kolom,6.3,45,30,0.239,3295,10283,3.6,0.47,1240,36,53,72,87,94,100,83,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
344,3.6,1.5 Grid,0,CLT Vloer/Kolom,6.3,45,30,0.239,3258,10181,3.6,0.47,1164,42,73,71,87,94,100,84,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
345,0,0 Grid,1,CLT Vloer/Kolom,6.3,45,30,0.227,3457,10682,4.5,0.47,1275,32,53,71,87,87,100,77,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
346,3.6,0 Grid,1,CLT Vloer/Kolom,6.3,45,30,0.232,3443,10604,4.5,0.47,1199,41,73,70,87,86,100,77,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
347,0,0.5 Grid,1,CLT Vloer/Kolom,6.3,45,30,0.221,3383,10511,4.5,0.47,1261,37,53,71,87,90,100,81,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
348,3.6,0.5 Grid,1,CLT Vloer/Kolom,6.3,45,30,0.226,3368,10428,4.5,0.47,1185,40,73,71,87,89,100,81,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
349,0,1 Grid,1,CLT Vloer/Kolom,6.3,45,30,0.223,3330,10348,4.5,0.47,1246,37,53,71,87,94,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
350,3.6,1 Grid,1,CLT Vloer/Kolom,6.3,45,30,0.229,3311,10251,4.5,0.47,1170,40,73,70,87,93,100,84,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
351,0,1.5 Grid,1,CLT Vloer/Kolom,6.3,45,30,0.223,3272,10186,4.5,0.47,1231,38,53,71,87,96,100,83,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
352,3.6,1.5 Grid,1,CLT Vloer/Kolom,6.3,45,30,0.227,3249,10079,4.5,0.47,1155,42,73,71,87,94,100,84,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
353,0,0 Grid,2,CLT Vloer/Kolom,6.3,45,30,0.223,3521,10682,5.4,0.47,1275,32,53,71,87,87,100,77,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
354,3.6,0 Grid,2,CLT Vloer/Kolom,6.3,45,30,0.229,3511,10604,5.4,0.47,1199,41,73,70,87,86,100,77,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
355,0,0.5 Grid,2,CLT Vloer/Kolom,6.3,45,30,0.224,3454,10479,5.4,0.47,1258,37,53,71,87,90,100,82,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
356,3.6,0.5 Grid,2,CLT Vloer/Kolom,6.3,45,30,0.23,3441,10392,5.4,0.47,1182,40,73,71,87,89,100,82,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
357,0,1 Grid,2,CLT Vloer/Kolom,6.3,45,30,0.219,3370,10283,5.4,0.47,1240,36,53,72,87,94,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
358,3.6,1 Grid,2,CLT Vloer/Kolom,6.3,45,30,0.226,3351,10181,5.4,0.47,1164,42,73,71,87,94,100,84,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
359,0,1.5 Grid,2,CLT Vloer/Kolom,6.3,45,30,0.221,3306,10091,5.4,0.47,1222,39,53,72,87,97,100,83,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
360,3.6,1.5 Grid,2,CLT Vloer/Kolom,6.3,45,30,0.228,3284,9979,5.4,0.47,1146,42,73,71,87,97,100,84,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemCLTVloerKolom_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
361,0,0 Grid,0,Beton Kanaalplaat/Wanden,6.3,45,30,0.21,9771,10682,5.4,0.47,1275,32,53,71,87,87,100,77,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
362,3.6,0 Grid,0,Beton Kanaalplaat/Wanden,6.3,45,30,0.209,9666,10604,5.4,0.47,1199,41,73,70,87,86,100,77,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
363,0,0.5 Grid,0,Beton Kanaalplaat/Wanden,6.3,45,30,0.212,9667,10479,5.4,0.47,1258,37,53,71,87,90,100,82,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
364,3.6,0.5 Grid,0,Beton Kanaalplaat/Wanden,6.3,45,30,0.212,9558,10392,5.4,0.47,1182,40,73,71,87,89,100,82,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
365,0,1 Grid,0,Beton Kanaalplaat/Wanden,6.3,45,30,0.206,9206,10283,5.4,0.47,1240,36,53,72,87,94,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
366,3.6,1 Grid,0,Beton Kanaalplaat/Wanden,6.3,45,30,0.205,9062,10181,5.4,0.47,1164,42,73,71,87,94,100,84,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
367,0,1.5 Grid,0,Beton Kanaalplaat/Wanden,6.3,45,30,0.208,9108,10091,5.4,0.47,1222,39,53,72,87,97,100,83,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
368,3.6,1.5 Grid,0,Beton Kanaalplaat/Wanden,6.3,45,30,0.207,8958,9979,5.4,0.47,1146,42,73,71,87,97,100,84,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
369,0,0 Grid,1,Beton Kanaalplaat/Wanden,6.3,45,30,0.265,10610,10682,8.1,0.47,1275,32,53,71,87,87,100,77,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
370,3.6,0 Grid,1,Beton Kanaalplaat/Wanden,6.3,45,30,0.27,10673,10604,8.1,0.47,1199,41,73,70,87,86,100,77,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
371,0,0.5 Grid,1,Beton Kanaalplaat/Wanden,6.3,45,30,0.269,10395,10381,8.1,0.47,1249,38,53,71,87,92,100,83,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
372,3.6,0.5 Grid,1,Beton Kanaalplaat/Wanden,6.3,45,30,0.275,10446,10286,8.1,0.47,1173,39,73,70,87,91,100,84,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer1_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
373,0,1 Grid,1,Beton Kanaalplaat/Wanden,6.3,45,30,0.267,10031,10091,8.1,0.47,1222,39,53,72,87,97,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
374,3.6,1 Grid,1,Beton Kanaalplaat/Wanden,6.3,45,30,0.273,10069,9979,8.1,0.47,1146,42,73,71,87,97,100,84,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer1_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
375,0,1.5 Grid,1,Beton Kanaalplaat/Wanden,6.3,45,30,0.262,9588,9817,8.1,0.47,1195,40,53,72,87,100,100,82,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
376,3.6,1.5 Grid,1,Beton Kanaalplaat/Wanden,6.3,45,30,0.269,9614,9686,8.1,0.48,1119,45,73,72,87,100,100,84,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer1_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
377,0,0 Grid,2,Beton Kanaalplaat/Wanden,6.3,45,30,0.244,10088,10682,10.8,0.47,1275,32,53,71,87,87,100,77,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
378,3.6,0 Grid,2,Beton Kanaalplaat/Wanden,6.3,45,30,0.251,10241,10604,10.8,0.47,1199,41,73,70,87,86,100,77,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer2_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
379,0,0.5 Grid,2,Beton Kanaalplaat/Wanden,6.3,45,30,0.233,9369,10283,10.8,0.47,1240,36,53,72,87,94,100,83,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
380,3.6,0.5 Grid,2,Beton Kanaalplaat/Wanden,6.3,45,30,0.24,9474,10181,10.8,0.47,1164,42,73,71,87,94,100,84,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer2_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
381,0,1 Grid,2,Beton Kanaalplaat/Wanden,6.3,45,30,0.236,9100,9906,10.8,0.47,1205,40,53,72,87,100,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
382,3.6,1 Grid,2,Beton Kanaalplaat/Wanden,6.3,45,30,0.244,9189,9781,10.8,0.48,1129,42,73,71,87,100,100,84,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer2_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
383,0,1.5 Grid,2,Beton Kanaalplaat/Wanden,6.3,45,30,0.236,9114,9926,10.8,0.46,1202,40,53,73,87,100,100,82,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
384,3.6,1.5 Grid,2,Beton Kanaalplaat/Wanden,6.3,45,30,0.244,9203,9801,10.8,0.47,1126,43,73,73,87,100,100,83,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer2_BouwsysteemBetonKanaalplaatWanden_VleugelWoningdiepte6.3_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
385,0,0 Grid,0,CLT Vloer/Wanden,8.1,45,30,0.206,4859,10965,3.6,0.46,1299,34,53,71,87,86,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte8.1_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
386,3.6,0 Grid,0,CLT Vloer/Wanden,8.1,45,30,0.206,4823,10896,3.6,0.46,1223,34,73,70,87,85,100,76,AfstandvanStraat3.6_InkepingHoek0Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte8.1_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
387,0,0.5 Grid,0,CLT Vloer/Wanden,8.1,45,30,0.201,4722,10823,3.6,0.46,1287,33,53,71,87,88,100,79,AfstandvanStraat0_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte8.1_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
388,3.6,0.5 Grid,0,CLT Vloer/Wanden,8.1,45,30,0.201,4683,10747,3.6,0.46,1211,39,73,70,87,87,100,80,AfstandvanStraat3.6_InkepingHoek0.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte8.1_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
389,0,1 Grid,0,CLT Vloer/Wanden,8.1,45,30,0.203,4679,10684,3.6,0.46,1275,35,53,71,87,91,100,83,AfstandvanStraat0_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte8.1_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
390,3.6,1 Grid,0,CLT Vloer/Wanden,8.1,45,30,0.203,4639,10605,3.6,0.46,1199,40,73,70,87,90,100,83,AfstandvanStraat3.6_InkepingHoek1Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte8.1_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
391,0,1.5 Grid,0,CLT Vloer/Wanden,8.1,45,30,0.202,4605,10550,3.6,0.46,1263,37,53,72,87,94,100,83,AfstandvanStraat0_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte8.1_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
392,3.6,1.5 Grid,0,CLT Vloer/Wanden,8.1,45,30,0.202,4559,10463,3.6,0.46,1188,39,73,71,87,93,100,84,AfstandvanStraat3.6_InkepingHoek1.5Grid_OverspanningVloer0_BouwsysteemCLTVloerWanden_VleugelWoningdiepte8.1_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
393,0,0 Grid,1,CLT Vloer/Wanden,8.1,45,30,0.187,4555,10965,4.5,0.46,1299,34,53,71,87,86,100,76,AfstandvanStraat0_InkepingHoek0Grid_OverspanningVloer1_BouwsysteemCLTVloerWanden_VleugelWoningdiepte8.1_BelemmeringshoekZuid45_BelemmeringshoekNoord30_NewView.png
